Total Pressure: 5.82 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: 11.64 , Pressure 4: 1.45 , Horizontal: 0.00 
Total Pressure: -24.73 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.02 
Total Pressure: -24.73 , Pressure 1: -1.45 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.02 
Total Pressure: -14.55 , Pressure 1: -8.73 , Pressure 2: 1.45 , Pressure 3: -2.91 , Pressure 4: -4.36 , Horizontal: 0.01 
Total Pressure: -21.82 , Pressure 1: -5.82 , Pressure 2: 2.91 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.03 
Total Pressure: -18.91 , Pressure 1: -2.91 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -1.45 , Horizontal: 0.01 
Total Pressure: -33.46 , Pressure 1: -10.18 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.01 
Total Pressure: -34.92 , Pressure 1: -8.73 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.03 
Total Pressure: -27.64 , Pressure 1: -10.18 , Pressure 2: 2.91 , Pressure 3: -13.09 , Pressure 4: -7.27 , Horizontal: 0.00 
Total Pressure: -32.01 , Pressure 1: -8.73 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: -0.01 
Total Pressure: -23.28 , Pressure 1: -5.82 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.03 
Total Pressure: -13.09 , Pressure 1: -4.36 , Pressure 2: 1.45 , Pressure 3: -2.91 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -33.46 , Pressure 1: -8.73 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -30.55 , Pressure 1: -7.27 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -32.01 , Pressure 1: -10.18 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.01 
Total Pressure: -20.37 , Pressure 1: -2.91 , Pressure 2: 2.91 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.00 
Total Pressure: -18.91 , Pressure 1: -4.36 , Pressure 2: 0.00 , Pressure 3: -7.27 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -23.28 , Pressure 1: -10.18 , Pressure 2: 0.00 , Pressure 3: -5.82 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -23.28 , Pressure 1: -8.73 , Pressure 2: -1.45 , Pressure 3: -7.27 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -21.82 , Pressure 1: -2.91 , Pressure 2: 1.45 , Pressure 3: -13.09 , Pressure 4: -7.27 , Horizontal: 0.01 
Total Pressure: -32.01 , Pressure 1: -10.18 , Pressure 2: 0.00 , Pressure 3: -14.55 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -17.46 , Pressure 1: -4.36 , Pressure 2: 0.00 , Pressure 3: -10.18 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -30.55 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.01 
Total Pressure: -30.55 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.02 
Total Pressure: -24.73 , Pressure 1: -8.73 , Pressure 2: 1.45 , Pressure 3: -13.09 , Pressure 4: -4.36 , Horizontal: -0.03 
Total Pressure: -13.09 , Pressure 1: -2.91 , Pressure 2: 1.45 , Pressure 3: -4.36 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -24.73 , Pressure 1: -4.36 , Pressure 2: 0.00 , Pressure 3: -14.55 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -7.27 , Pressure 1: -2.91 , Pressure 2: 4.36 , Pressure 3: -2.91 , Pressure 4: -5.82 , Horizontal: -0.01 
Total Pressure: -23.28 , Pressure 1: -4.36 , Pressure 2: 0.00 , Pressure 3: -13.09 , Pressure 4: -5.82 , Horizontal: -0.01 
Total Pressure: -23.28 , Pressure 1: -10.18 , Pressure 2: 4.36 , Pressure 3: -16.00 , Pressure 4: -1.45 , Horizontal: 0.00 
Total Pressure: -29.10 , Pressure 1: -4.36 , Pressure 2: -2.91 , Pressure 3: -14.55 , Pressure 4: -7.27 , Horizontal: 0.01 
Total Pressure: -23.28 , Pressure 1: -2.91 , Pressure 2: 2.91 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.03 
Total Pressure: -27.64 , Pressure 1: -4.36 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.04 
Total Pressure: -23.28 , Pressure 1: -2.91 , Pressure 2: 2.91 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.02 
Total Pressure: -29.10 , Pressure 1: -8.73 , Pressure 2: -1.45 , Pressure 3: -14.55 , Pressure 4: -4.36 , Horizontal: -0.02 
Total Pressure: -18.91 , Pressure 1: -7.27 , Pressure 2: -1.45 , Pressure 3: -4.36 , Pressure 4: -5.82 , Horizontal: 0.00 
Total Pressure: -18.91 , Pressure 1: -7.27 , Pressure 2: -1.45 , Pressure 3: -4.36 , Pressure 4: -5.82 , Horizontal: 0.00 
Total Pressure: -21.82 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -13.09 , Pressure 4: -1.45 , Horizontal: 0.01 
Total Pressure: -29.10 , Pressure 1: -10.18 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -26.19 , Pressure 1: -7.27 , Pressure 2: 1.45 , Pressure 3: -14.55 , Pressure 4: -5.82 , Horizontal: -0.02 
Total Pressure: -20.37 , Pressure 1: -2.91 , Pressure 2: 0.00 , Pressure 3: -14.55 , Pressure 4: -2.91 , Horizontal: 0.00 
Total Pressure: -34.92 , Pressure 1: -10.18 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.02 
Total Pressure: -29.10 , Pressure 1: -5.82 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: 0.03 
Total Pressure: -17.46 , Pressure 1: -8.73 , Pressure 2: 1.45 , Pressure 3: -2.91 , Pressure 4: -7.27 , Horizontal: 0.00 
Total Pressure: -24.73 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -1.45 , Horizontal: 0.00 
Total Pressure: -24.73 , Pressure 1: -7.27 , Pressure 2: -1.45 , Pressure 3: -10.18 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -13.09 , Pressure 1: -4.36 , Pressure 2: 1.45 , Pressure 3: -7.27 , Pressure 4: -2.91 , Horizontal: 0.00 
Total Pressure: -29.10 , Pressure 1: -5.82 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.00 
Total Pressure: -27.64 , Pressure 1: -5.82 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.01 
Total Pressure: -23.28 , Pressure 1: -4.36 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.00 
Total Pressure: -26.19 , Pressure 1: -4.36 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -30.55 , Pressure 1: -10.18 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -23.28 , Pressure 1: -2.91 , Pressure 2: -1.45 , Pressure 3: -11.64 , Pressure 4: -7.27 , Horizontal: 0.02 
Total Pressure: -30.55 , Pressure 1: -8.73 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.02 
Total Pressure: -17.46 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -5.82 , Pressure 4: -4.36 , Horizontal: 0.01 
Total Pressure: -23.28 , Pressure 1: -10.18 , Pressure 2: -1.45 , Pressure 3: -4.36 , Pressure 4: -7.27 , Horizontal: 0.02 
Total Pressure: -33.46 , Pressure 1: -10.18 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.02 
Total Pressure: -21.82 , Pressure 1: -7.27 , Pressure 2: 4.36 , Pressure 3: -13.09 , Pressure 4: -5.82 , Horizontal: 0.00 
Total Pressure: -27.64 , Pressure 1: -8.73 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -29.10 , Pressure 1: -5.82 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -14.55 , Pressure 1: -10.18 , Pressure 2: 0.00 , Pressure 3: 0.00 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -26.19 , Pressure 1: -10.18 , Pressure 2: -2.91 , Pressure 3: -5.82 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -24.73 , Pressure 1: -2.91 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.00 
Total Pressure: -24.73 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.02 
Total Pressure: -30.55 , Pressure 1: -10.18 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -17.46 , Pressure 1: -2.91 , Pressure 2: 0.00 , Pressure 3: -7.27 , Pressure 4: -7.27 , Horizontal: 0.01 
Total Pressure: -27.64 , Pressure 1: -7.27 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -30.55 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -18.91 , Pressure 1: -4.36 , Pressure 2: 2.91 , Pressure 3: -10.18 , Pressure 4: -7.27 , Horizontal: 0.01 
Total Pressure: -18.91 , Pressure 1: -5.82 , Pressure 2: 2.91 , Pressure 3: -13.09 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -33.46 , Pressure 1: -10.18 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.01 
Total Pressure: -20.37 , Pressure 1: -4.36 , Pressure 2: 0.00 , Pressure 3: -8.73 , Pressure 4: -7.27 , Horizontal: 0.00 
Total Pressure: -24.73 , Pressure 1: -5.82 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.02 
Total Pressure: 2.91 , Pressure 1: -2.91 , Pressure 2: 1.45 , Pressure 3: 1.45 , Pressure 4: 2.91 , Horizontal: 0.01 
Total Pressure: 1.45 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: 0.00 , Pressure 4: 7.27 , Horizontal: 0.00 
Total Pressure: 72.74 , Pressure 1: 18.91 , Pressure 2: 7.27 , Pressure 3: 21.82 , Pressure 4: 24.73 , Horizontal: -0.01 
Total Pressure: 125.12 , Pressure 1: 30.55 , Pressure 2: 18.91 , Pressure 3: 32.01 , Pressure 4: 43.65 , Horizontal: 0.01 
Total Pressure: 234.23 , Pressure 1: 65.47 , Pressure 2: 33.46 , Pressure 3: 64.01 , Pressure 4: 71.29 , Horizontal: -0.02 
Total Pressure: 341.89 , Pressure 1: 100.39 , Pressure 2: 52.38 , Pressure 3: 87.29 , Pressure 4: 101.84 , Horizontal: -0.01 
Total Pressure: 467.01 , Pressure 1: 125.12 , Pressure 2: 75.65 , Pressure 3: 125.12 , Pressure 4: 141.12 , Horizontal: 0.04 
Total Pressure: 612.50 , Pressure 1: 168.76 , Pressure 2: 93.11 , Pressure 3: 170.22 , Pressure 4: 180.40 , Horizontal: -0.03 
Total Pressure: 622.68 , Pressure 1: 173.13 , Pressure 2: 100.39 , Pressure 3: 167.31 , Pressure 4: 181.86 , Horizontal: -0.02 
Total Pressure: 654.69 , Pressure 1: 177.49 , Pressure 2: 103.30 , Pressure 3: 178.95 , Pressure 4: 194.95 , Horizontal: -0.01 
Total Pressure: 714.34 , Pressure 1: 190.59 , Pressure 2: 112.02 , Pressure 3: 203.68 , Pressure 4: 208.05 , Horizontal: -0.02 
Total Pressure: 725.98 , Pressure 1: 192.04 , Pressure 2: 110.57 , Pressure 3: 215.32 , Pressure 4: 208.05 , Horizontal: 0.01 
Total Pressure: 701.25 , Pressure 1: 192.04 , Pressure 2: 110.57 , Pressure 3: 192.04 , Pressure 4: 206.59 , Horizontal: -0.01 
Total Pressure: 474.29 , Pressure 1: 133.85 , Pressure 2: 69.83 , Pressure 3: 142.58 , Pressure 4: 128.03 , Horizontal: 0.03 
Total Pressure: 65.47 , Pressure 1: 14.55 , Pressure 2: 13.09 , Pressure 3: 26.19 , Pressure 4: 11.64 , Horizontal: -0.03 
Total Pressure: -1.45 , Pressure 1: -1.45 , Pressure 2: 0.00 , Pressure 3: 5.82 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -5.82 , Pressure 1: -7.27 , Pressure 2: 1.45 , Pressure 3: 1.45 , Pressure 4: -1.45 , Horizontal: -0.01 
Total Pressure: -20.37 , Pressure 1: 0.00 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.00 
Total Pressure: -10.18 , Pressure 1: 4.36 , Pressure 2: -1.45 , Pressure 3: -13.09 , Pressure 4: 0.00 , Horizontal: 0.01 
Total Pressure: 50.92 , Pressure 1: 14.55 , Pressure 2: 5.82 , Pressure 3: 14.55 , Pressure 4: 16.00 , Horizontal: -0.03 
Total Pressure: 112.02 , Pressure 1: 30.55 , Pressure 2: 13.09 , Pressure 3: 30.55 , Pressure 4: 37.83 , Horizontal: 0.01 
Total Pressure: 222.59 , Pressure 1: 71.29 , Pressure 2: 32.01 , Pressure 3: 52.38 , Pressure 4: 66.92 , Horizontal: -0.03 
Total Pressure: 340.44 , Pressure 1: 96.02 , Pressure 2: 55.28 , Pressure 3: 88.75 , Pressure 4: 100.39 , Horizontal: 0.03 
Total Pressure: 516.48 , Pressure 1: 145.49 , Pressure 2: 84.38 , Pressure 3: 133.85 , Pressure 4: 152.76 , Horizontal: 0.03 
Total Pressure: 682.33 , Pressure 1: 183.31 , Pressure 2: 112.02 , Pressure 3: 194.95 , Pressure 4: 192.04 , Horizontal: -0.01 
Total Pressure: 688.15 , Pressure 1: 187.68 , Pressure 2: 112.02 , Pressure 3: 193.50 , Pressure 4: 194.95 , Horizontal: -0.02 
Total Pressure: 691.06 , Pressure 1: 186.22 , Pressure 2: 110.57 , Pressure 3: 202.23 , Pressure 4: 192.04 , Horizontal: 0.01 
Total Pressure: 692.52 , Pressure 1: 186.22 , Pressure 2: 113.48 , Pressure 3: 203.68 , Pressure 4: 189.13 , Horizontal: 0.03 
Total Pressure: 683.79 , Pressure 1: 190.59 , Pressure 2: 109.11 , Pressure 3: 192.04 , Pressure 4: 192.04 , Horizontal: 0.03 
Total Pressure: 682.33 , Pressure 1: 192.04 , Pressure 2: 109.11 , Pressure 3: 194.95 , Pressure 4: 186.22 , Horizontal: 0.00 
Total Pressure: 680.88 , Pressure 1: 190.59 , Pressure 2: 112.02 , Pressure 3: 192.04 , Pressure 4: 186.22 , Horizontal: -0.02 
Total Pressure: 321.53 , Pressure 1: 93.11 , Pressure 2: 46.56 , Pressure 3: 91.66 , Pressure 4: 90.20 , Horizontal: -0.01 
Total Pressure: 16.00 , Pressure 1: 4.36 , Pressure 2: 4.36 , Pressure 3: 4.36 , Pressure 4: 2.91 , Horizontal: -0.01 
Total Pressure: -24.73 , Pressure 1: -2.91 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -20.37 , Pressure 1: 0.00 , Pressure 2: 0.00 , Pressure 3: -14.55 , Pressure 4: -5.82 , Horizontal: 0.03 
Total Pressure: -18.91 , Pressure 1: 1.45 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: -0.01 
Total Pressure: -29.10 , Pressure 1: -5.82 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: 0.03 
Total Pressure: -4.36 , Pressure 1: -1.45 , Pressure 2: 2.91 , Pressure 3: -7.27 , Pressure 4: 1.45 , Horizontal: 0.02 
Total Pressure: 49.47 , Pressure 1: 16.00 , Pressure 2: 4.36 , Pressure 3: 11.64 , Pressure 4: 17.46 , Horizontal: -0.02 
Total Pressure: 103.30 , Pressure 1: 26.19 , Pressure 2: 20.37 , Pressure 3: 26.19 , Pressure 4: 30.55 , Horizontal: 0.01 
Total Pressure: 202.23 , Pressure 1: 61.10 , Pressure 2: 33.46 , Pressure 3: 48.01 , Pressure 4: 59.65 , Horizontal: -0.01 
Total Pressure: 349.17 , Pressure 1: 107.66 , Pressure 2: 55.28 , Pressure 3: 87.29 , Pressure 4: 98.93 , Horizontal: -0.01 
Total Pressure: 485.93 , Pressure 1: 136.76 , Pressure 2: 77.11 , Pressure 3: 132.39 , Pressure 4: 139.67 , Horizontal: -0.01 
Total Pressure: 629.96 , Pressure 1: 178.95 , Pressure 2: 106.21 , Pressure 3: 170.22 , Pressure 4: 174.58 , Horizontal: 0.01 
Total Pressure: 699.79 , Pressure 1: 200.77 , Pressure 2: 120.75 , Pressure 3: 192.04 , Pressure 4: 186.22 , Horizontal: -0.01 
Total Pressure: 688.15 , Pressure 1: 196.41 , Pressure 2: 116.39 , Pressure 3: 192.04 , Pressure 4: 183.31 , Horizontal: 0.00 
Total Pressure: 709.97 , Pressure 1: 203.68 , Pressure 2: 114.93 , Pressure 3: 208.05 , Pressure 4: 183.31 , Horizontal: -0.03 
Total Pressure: 692.52 , Pressure 1: 200.77 , Pressure 2: 116.39 , Pressure 3: 193.50 , Pressure 4: 181.86 , Horizontal: 0.03 
Total Pressure: 677.97 , Pressure 1: 196.41 , Pressure 2: 114.93 , Pressure 3: 184.77 , Pressure 4: 181.86 , Horizontal: 0.00 
Total Pressure: 686.70 , Pressure 1: 200.77 , Pressure 2: 117.84 , Pressure 3: 183.31 , Pressure 4: 184.77 , Horizontal: -0.03 
Total Pressure: 209.50 , Pressure 1: 61.10 , Pressure 2: 34.92 , Pressure 3: 59.65 , Pressure 4: 53.83 , Horizontal: -0.01 
Total Pressure: 0.00 , Pressure 1: 2.91 , Pressure 2: 5.82 , Pressure 3: -11.64 , Pressure 4: 2.91 , Horizontal: -0.01 
Total Pressure: -16.00 , Pressure 1: 0.00 , Pressure 2: 0.00 , Pressure 3: -14.55 , Pressure 4: -1.45 , Horizontal: 0.03 
Total Pressure: -8.73 , Pressure 1: 0.00 , Pressure 2: -1.45 , Pressure 3: -2.91 , Pressure 4: -4.36 , Horizontal: 0.00 
Total Pressure: -17.46 , Pressure 1: -5.82 , Pressure 2: 4.36 , Pressure 3: -13.09 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -26.19 , Pressure 1: -8.73 , Pressure 2: -2.91 , Pressure 3: -10.18 , Pressure 4: -4.36 , Horizontal: 0.02 
Total Pressure: -17.46 , Pressure 1: 0.00 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -10.18 , Pressure 1: 0.00 , Pressure 2: -2.91 , Pressure 3: 0.00 , Pressure 4: -7.27 , Horizontal: 0.01 
Total Pressure: -23.28 , Pressure 1: -1.45 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -18.91 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -8.73 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -32.01 , Pressure 1: -8.73 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.02 
Total Pressure: -27.64 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -20.37 , Pressure 1: -2.91 , Pressure 2: 1.45 , Pressure 3: -13.09 , Pressure 4: -5.82 , Horizontal: -0.01 
Total Pressure: -24.73 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -13.09 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -17.46 , Pressure 1: -2.91 , Pressure 2: 1.45 , Pressure 3: -11.64 , Pressure 4: -4.36 , Horizontal: 0.03 
Total Pressure: -24.73 , Pressure 1: -7.27 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.02 
Total Pressure: -24.73 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -26.19 , Pressure 1: -1.45 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: 0.03 
Total Pressure: -23.28 , Pressure 1: -5.82 , Pressure 2: 1.45 , Pressure 3: -14.55 , Pressure 4: -4.36 , Horizontal: 0.01 
Total Pressure: -26.19 , Pressure 1: -5.82 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -18.91 , Pressure 1: -1.45 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -1.45 , Horizontal: -0.01 
Total Pressure: -17.46 , Pressure 1: -4.36 , Pressure 2: -2.91 , Pressure 3: -8.73 , Pressure 4: -1.45 , Horizontal: -0.03 
Total Pressure: -23.28 , Pressure 1: -8.73 , Pressure 2: 2.91 , Pressure 3: -16.00 , Pressure 4: -1.45 , Horizontal: 0.01 
Total Pressure: -10.18 , Pressure 1: -2.91 , Pressure 2: 0.00 , Pressure 3: -1.45 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -24.73 , Pressure 1: -5.82 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -21.82 , Pressure 1: -7.27 , Pressure 2: -2.91 , Pressure 3: -5.82 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -16.00 , Pressure 1: -7.27 , Pressure 2: -1.45 , Pressure 3: -1.45 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -7.27 , Pressure 1: -1.45 , Pressure 2: 0.00 , Pressure 3: -4.36 , Pressure 4: -1.45 , Horizontal: 0.01 
Total Pressure: -26.19 , Pressure 1: -7.27 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -7.27 , Pressure 1: -4.36 , Pressure 2: 2.91 , Pressure 3: -1.45 , Pressure 4: -4.36 , Horizontal: 0.01 
Total Pressure: -7.27 , Pressure 1: -1.45 , Pressure 2: 2.91 , Pressure 3: -5.82 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -32.01 , Pressure 1: -10.18 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.01 
Total Pressure: -32.01 , Pressure 1: -7.27 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.00 
Total Pressure: -17.46 , Pressure 1: -5.82 , Pressure 2: 1.45 , Pressure 3: -11.64 , Pressure 4: -1.45 , Horizontal: 0.01 
Total Pressure: -27.64 , Pressure 1: -8.73 , Pressure 2: 2.91 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: -0.01 
Total Pressure: -11.64 , Pressure 1: -7.27 , Pressure 2: 2.91 , Pressure 3: -4.36 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -13.09 , Pressure 1: -5.82 , Pressure 2: 1.45 , Pressure 3: -7.27 , Pressure 4: -1.45 , Horizontal: -0.01 
Total Pressure: -27.64 , Pressure 1: -5.82 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -30.55 , Pressure 1: -5.82 , Pressure 2: -2.91 , Pressure 3: -14.55 , Pressure 4: -7.27 , Horizontal: 0.00 
Total Pressure: -23.28 , Pressure 1: -8.73 , Pressure 2: -1.45 , Pressure 3: -8.73 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -26.19 , Pressure 1: -8.73 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -8.73 , Pressure 1: -1.45 , Pressure 2: 1.45 , Pressure 3: -4.36 , Pressure 4: -4.36 , Horizontal: 0.01 
Total Pressure: -23.28 , Pressure 1: -8.73 , Pressure 2: -1.45 , Pressure 3: -7.27 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -27.64 , Pressure 1: -8.73 , Pressure 2: 4.36 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.00 
Total Pressure: -7.27 , Pressure 1: -2.91 , Pressure 2: 4.36 , Pressure 3: -5.82 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -23.28 , Pressure 1: -8.73 , Pressure 2: 4.36 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.03 
Total Pressure: -29.10 , Pressure 1: -2.91 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -11.64 , Pressure 1: -5.82 , Pressure 2: 0.00 , Pressure 3: -4.36 , Pressure 4: -1.45 , Horizontal: 0.00 
Total Pressure: -5.82 , Pressure 1: -1.45 , Pressure 2: 1.45 , Pressure 3: -2.91 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -26.19 , Pressure 1: -4.36 , Pressure 2: -1.45 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: -0.02 
Total Pressure: -27.64 , Pressure 1: -5.82 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -23.28 , Pressure 1: -2.91 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -1.45 , Horizontal: -0.01 
Total Pressure: -26.19 , Pressure 1: -7.27 , Pressure 2: -2.91 , Pressure 3: -13.09 , Pressure 4: -2.91 , Horizontal: 0.03 
Total Pressure: -10.18 , Pressure 1: -1.45 , Pressure 2: 1.45 , Pressure 3: -5.82 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -17.46 , Pressure 1: 0.00 , Pressure 2: 2.91 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: -0.03 
Total Pressure: -18.91 , Pressure 1: -1.45 , Pressure 2: -1.45 , Pressure 3: -8.73 , Pressure 4: -7.27 , Horizontal: -0.01 
Total Pressure: -14.55 , Pressure 1: -1.45 , Pressure 2: -1.45 , Pressure 3: -4.36 , Pressure 4: -7.27 , Horizontal: 0.02 
Total Pressure: -13.09 , Pressure 1: -7.27 , Pressure 2: -2.91 , Pressure 3: -1.45 , Pressure 4: -1.45 , Horizontal: 0.02 
